iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ATA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ATA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ATA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
ATF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ATF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ATF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ATF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ATF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
ATG,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,4314.049665,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.096925
ATG,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0.0440094,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.096925
ATG,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0.169124,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.096925
ATG,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,4339.8745626,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.096925
ATG,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,4330.447628,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.096925
BDI,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BDI,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BDI,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BDI,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BDI,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BEN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BEN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BEN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BEN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BEN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BES,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BES,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BES,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BES,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BES,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BFA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BFA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BFA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BFA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BFA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BHR,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BHR,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BHR,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BHR,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BHR,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BIH,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BIH,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BIH,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BIH,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BIH,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BLM,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BLM,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BLM,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BLM,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BLM,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BOL,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BOL,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BOL,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BOL,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BOL,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BRN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BRN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BRN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BRN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BRN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BWA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BWA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BWA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BWA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BWA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
BVT,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BVT,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
BVT,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
BVT,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
BVT,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
CAF,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
CAN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,8578257.563,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.811618
CAN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,17.504046,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.811618
CAN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,160.96624200000002,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.811618
CAN,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,8596399.795471998,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.811618
